"","egoID","Q94_1","Q94_2","Q94_3","Q94_4","Q94_5","Q94_6","Q96_1","Q96_2","Q96_3","Q96_4","Q96_5","Q96_6","Q98_1","Q98_2","Q98_3","Q98_4","Q98_5","Q98_6","Q100_1","Q100_2","Q100_3","Q100_4","Q100_5","Q100_6","Q102_1","Q102_2","Q102_3","Q102_4","ego.careerval","ego.acadval","ego.gender","ego.race","ego.workhours","ego.studentorg","ego.belong","ego.age","ego.year","ext_reg","int_toknow","ext_iden","int_stim","amotiv","int_accomp","ext_intro","ego.genderbi","ego.racetri","mean.clo","mean.comm","mean.careerval","mean.acadval","mean.edu","alt.edudiverse","alt.type","alt.age","alt.agesd","alt.female","alt.male","alt.genratio"
"1",1001,5,4,5,1,1,3,5,5,3,5,3,1,3,4,5,4,3,3,1,3,4,5,5,5,3,1,4,5,10,10,2,1,0,3,3,NA,NA,5,4,4.5,2.5,1,3.25,4.5,1,1,9.5,1.75,8.75,7.75,6,2,5,25.5,8.50490054811538,1,3,0.333333333333333
"2",1002,2,5,5,1,2,2,4,4,4,5,1,3,2,4,4,4,4,1,1,4,3,3,3,2,1,1,1,3,10,10,1,1,30,3,2,NA,NA,3.25,4,4,1,1.75,2.25,3.5,0,1,9,2,8.66666666666667,5.33333333333333,6.33333333333333,3,3,53.3333333333333,5.77350269189626,1,2,0.5
"3",1005,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,10,2,1,20,3,4,NA,NA,4,4,4,4,4,4,4,1,1,8.66666666666667,1.33333333333333,9.33333333333333,9.33333333333333,5.33333333333333,2,3,19,0,2,1,2
"4",1006,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,10,2,1,20,3,4,NA,NA,4,4,4,4,4,4,4,1,1,10,1,10,10,6.5,2,2,53,0,1,1,1
"5",1007,3,4,5,3,1,2,5,5,5,5,3,1,5,5,5,4,5,2,1,5,5,4,4,5,4,1,4,5,10,10,1,2,12,3,4,NA,NA,4.25,4.25,5,3,1,4,5,0,2,8.7,1.6,9.2,7.7,8,3,4,29.3,14.682188755995,3,7,0.428571428571429
"6",1008,4,3,4,4,1,3,2,3,3,4,3,1,2,2,3,3,3,3,1,3,2,4,3,4,3,1,2,2,7,7,2,1,20,3,3,NA,NA,3.5,3,3.75,3.25,1,2.5,2,1,1,7.8,2.4,7,7,7.4,2,5,43.8,12.7945300812496,3,2,1.5
"7",1009,3,5,5,2,1,3,3,4,4,4,2,1,3,4,5,4,3,2,1,4,4,4,3,4,2,1,4,4,9,10,1,1,30,1,5,NA,NA,4,4,4,2,1,3.5,3.75,0,1,9,4,7.5,10,7.5,2,4,45.25,6.23832242407097,1,3,0.333333333333333
"8",1012,4,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,3,4,3,2,2,2,-8,-8,2,3,39,1,3,NA,NA,2.75,2.25,2.5,2.25,2.25,2,2.25,1,3,3.3,3.1,2.6,4.5,5.4,4,6,45.5,12.1678081656293,9,1,9
"9",1014,5,3,5,3,2,5,5,5,3,5,1,1,5,1,5,5,5,1,1,1,3,5,5,NA,1,1,5,5,10,10,2,2,0,3,2,NA,NA,5,4,NA,1.5,1.25,4,3.5,1,2,9,2.5,9,8.5,5.5,3,3,44.6666666666667,8.14452781524708,2,2,1
"10",1015,5,4,5,1,1,3,5,5,4,5,1,1,5,5,5,3,5,1,1,5,5,5,3,5,1,1,5,5,10,10,1,1,0,1,4,NA,NA,5,3.5,5,1,1,4.5,5,0,1,10,1.5,10,10,7,1,2,51,1.4142135623731,1,1,1
"11",1018,1,2,1,1,5,2,1,1,1,2,1,5,1,2,1,1,1,1,4,1,1,1,1,1,1,5,1,1,5,0,1,1,22,3,1,NA,NA,1,1.25,1.25,1,4.75,1.25,1.25,0,1,10,1.66666666666667,7.66666666666667,8,5.66666666666667,3,3,51,13.856406460551,1,2,0.5
"12",1019,3,3,2,2,2,3,3,2,2,2,2,2,3,2,2,3,3,4,2,2,3,2,2,3,3,2,2,3,10,10,1,2,0,3,5,NA,NA,2.25,2.5,2.5,2.75,2,2.5,2.75,0,2,8.5,1.9,7.3,5.8,6.7,5,6,28.5,13.3354165039317,4,5,0.8
"13",1020,4,2,5,1,3,1,3,5,1,5,1,3,1,2,5,1,2,1,4,1,1,5,1,5,1,3,1,1,10,-2,2,1,25,3,2,NA,NA,4.75,1.25,4.25,1,3.25,1,1.75,1,1,10,1.33333333333333,9,6.66666666666667,5.66666666666667,3,3,68,15.7162336455017,1,2,0.5
"14",1023,2,5,5,4,1,5,5,3,5,5,3,1,5,3,4,5,5,5,1,5,5,4,5,5,5,1,5,5,10,10,1,1,15,1,5,NA,NA,3.25,5,5,4.25,1,5,4.5,0,1,9.83333333333333,2.16666666666667,9.5,9.33333333333333,6.33333333333333,4,5,42.5,19.6545160204977,1,5,0.2
"15",1025,3,5,5,4,1,4,4,3,5,5,4,1,5,5,3,5,5,4,1,3,5,3,5,3,4,1,4,5,8,9,1,1,17,3,4,NA,NA,3,5,4.5,4,1,4,4.75,0,1,8.6,2.6,9.4,9.2,8.6,3,5,231.8,428.964683861038,2,2,1
"16",1027,3,3,4,4,1,1,5,4,4,4,1,1,3,4,3,4,4,4,1,3,3,4,4,4,3,1,3,3,10,10,1,2,0,3,3,NA,NA,3.5,3.75,4,3,1,2.5,3.75,0,2,10,2,10,10,3,1,3,35.5,13.4350288425444,1,1,1
"17",1028,5,3,3,3,1,2,3,5,2,5,1,1,3,3,5,3,5,1,1,2,3,5,2,5,1,1,4,2,10,10,1,2,25,1,1,NA,NA,5,2.5,4.5,1.5,1,2.75,2.75,0,2,10,1,10,10,5.5,2,2,46,0,1,1,1
"18",1029,3,3,4,3,2,3,2,3,3,4,2,1,3,3,3,3,3,3,1,4,2,4,3,3,3,1,4,4,10,10,1,2,0,1,2,NA,NA,3.25,3,3.5,2.75,1.25,3.5,2.75,0,2,9.7,1.6,10,10,6.6,3,6,37.125,17.1417410350958,2,8,0.25
"19",1030,4,3,5,3,1,2,4,4,3,4,1,1,4,3,3,4,4,1,1,3,3,3,4,4,3,1,4,4,10,9,1,1,23,3,3,NA,NA,3.5,3.5,4.25,2,1,3.25,3.5,0,1,9.8,2.2,9,9.2,7.6,4,3,60,13.9821314541096,2,3,0.666666666666667
"20",1031,4,5,4,4,1,4,4,4,3,5,4,2,4,4,5,4,4,3,1,4,4,4,4,4,4,1,4,4,10,10,1,2,0,3,4,NA,NA,4.25,4,4.25,3.75,1.25,4,4,0,2,10,1.6,10,10,8.8,2,4,29.5,14.8492424049175,3,2,1.5
"21",1032,1,3,4,3,2,4,4,2,3,4,2,2,5,5,3,4,4,2,1,4,3,3,4,5,4,2,4,4,6,5,1,1,0,2,4,NA,NA,2.25,3.5,4.25,2.75,1.75,4.25,4,0,1,4.8,5.2,4.8,5,7.6,2,2,NA,NA,2,3,0.666666666666667
"22",1034,5,1,5,1,2,NA,5,5,1,5,1,4,1,1,5,1,5,1,3,1,1,5,1,1,1,3,1,4,10,2,1,1,8,1,5,NA,NA,5,1,4,1,3,NA,2.75,0,1,8.6,2.2,9.6,8.8,6.2,2,3,40.6,13.1263094584883,1,4,0.25
"23",1038,5,2,2,2,5,3,3,5,1,5,1,4,3,1,5,2,5,1,3,2,2,4,2,2,1,5,1,1,10,5,1,1,25,1,2,NA,NA,4.75,1.75,3.5,1.25,4.25,2.25,1.75,0,1,6.8,2.2,10,9.1,6.5,4,5,36.2,17.7250607270547,3,7,0.428571428571429
"24",1039,4,2,4,1,2,3,5,4,3,4,1,2,3,4,4,3,4,1,2,3,4,4,4,4,2,3,3,5,9,9,2,1,20,3,2,NA,NA,4,3,4,1.25,2.25,3,4.5,1,1,9.5,1.5,8.5,7.5,5.5,3,2,61.25,15.3920975395385,2,2,1
