"","egoID","alter.initial","egoalt_relation","egoalt_relate_othr","egoalter_tie","egoalter_commfreq","alter.gender","alt.gender_othr","alter.age","alter.acad.val","alter.career.val","alter.edu","alter.edu.othr","e0102","e0103","e0203","e0104","e0204","e0304","e0105","e0205","e0305","e0405","e0106","e0206","e0306","e0406","e0506","e0107","e0207","e0307","e0407","e0507","e0607","e0108","e0208","e0308","e0408","e0508","e0608","e0708","e0109","e0209","e0309","e0409","e0509","e0609","e0709","e0809","e0110","e0210","e0310","e0410","e0510","e0610","e0710","e0810","e0910","alterID","alter.genderbi"
"1",1001,"ks","5","",10,1,"1","",23,10,10,7,"","6","9","10","5","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100101",0
"2",1002,"rp","10","othr_adults",8,3,"1","",60,10,10,8,"","10","-4","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100201",0
"3",1005,"jh","1","",10,1,"2","",19,8,10,5,"","10","10","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100501",1
"5",1007,"bv","7","",10,1,"1","",18,6,10,10,"in college ","","10","8","4","3","3","10","4","4","3","9","2","2","6","10","10","-1","10","10","10","0","9","3","3","10","10","3","10","10","4","10","10","10","0","4","-10","10","0","0","6","7","-10","0","4","0","100701",0
"6",1008,"ah","1","",8,1,"1","",53,7,7,7,"","10","8","7","0","0","0","7","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100801",0
"7",1009,"rd","1","",10,1,"1","",52,10,10,7,"","4","10","0","3","7","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100901",0
"8",1012,"lg","1","",-1,3,"2","",43,8,6,8,"","1","5","5","5","6","6","7","7","7","7","7","6","6","6","6","6","6","6","2","2","-1","-5","-9","-9","-9","-8","-9","-8","-9","-9","-8","-9","-9","-9","-8","-9","-7","-9","-9","-8","-9","-9","-9","-9","-9","101201",1
"9",1014,"ab","1","parentfig",10,2,"1","",54,10,10,7,"","10","-5","-5","10","-2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101401",0
"11",1018,"mb","1","",10,1,"1","",43,8,8,8,"","10","10","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101801",0
"12",1019,"js","1","",10,1,"1","",47,10,10,7,"","10","10","10","10","4","1","10","10","10","7","7","2","1","-4","10","10","10","10","10","10","10","10","0","0","5","0","0","0","10","3","1","-1","2","1","1","1","6","1","0","1","2","2","2","2","1","101901",0
