"","egoID","from.alter","to.alter","weight_origin","weight"
"1",1001,"100101","100102",6,6
"2",1002,"100201","100202",10,10
"3",1005,"100501","100502",10,10
"6",1008,"100801","100802",10,10
"7",1009,"100901","100902",4,4
"8",1012,"101201","101202",1,1
"9",1014,"101401","101402",10,10
"11",1018,"101801","101802",10,10
"12",1019,"101901","101902",10,10
"14",1023,"102301","102302",10,10
"15",1025,"102501","102502",10,10
"16",1027,"102701","102702",8,8
"17",1028,"102801","102802",10,10
"18",1029,"102901","102902",10,10
"20",1031,"103101","103102",10,10
"21",1032,"103201","103202",2,2
"23",1038,"103801","103802",8,8
"24",1039,"103901","103902",10,10
"25",1040,"104001","104002",4,4
"26",1041,"104101","104102",10,10
"28",1045,"104501","104502",1,1
"29",1046,"104601","104602",10,10
"30",1049,"104901","104902",6,6
"31",1051,"105101","105102",10,10
"33",1054,"105401","105402",10,10
"34",1055,"105501","105502",10,10
"36",1058,"105801","105802",8,8
"37",1060,"106001","106002",10,10
"39",1062,"106201","106202",10,10
"41",1064,"106401","106402",4,4
"43",1067,"106701","106702",8,8
"44",1068,"106801","106802",10,10
"45",1069,"106901","106902",10,10
"46",1071,"107101","107102",10,10
"48",1075,"107501","107502",4,4
"49",1077,"107701","107702",8,8
"51",1079,"107901","107902",10,10
"52",1081,"108101","108102",10,10
"53",1082,"108201","108202",2,2
"54",1084,"108401","108402",10,10
"55",1085,"108501","108502",10,10
"60",1093,"109301","109302",3,3
"62",1095,"109501","109502",10,10
"63",1096,"109601","109602",8,8
"64",1097,"109701","109702",6,6
"67",1102,"110201","110202",10,10
"68",1103,"110301","110302",8,8
"75",1126,"112601","112602",10,10
"76",1130,"113001","113002",10,10
"77",1131,"113101","113102",2,2
"78",1132,"113201","113202",10,10
"81",1137,"113701","113702",9,9
"82",1141,"114101","114102",10,10
"87",1150,"115001","115002",3,3
"90",1156,"115601","115602",10,10
"94",1162,"116201","116202",10,10
"95",1165,"116501","116502",10,10
"97",1168,"116801","116802",5,5
"99",1175,"117501","117502",8,8
"100",1185,"118501","118502",6,6
"101",1186,"118601","118602",8,8
"102",1187,"118701","118702",9,9
"105",1191,"119101","119102",2,2
"106",1192,"119201","119202",10,10
"107",1193,"119301","119302",2,2
"110",1197,"119701","119702",10,10
"112",1199,"119901","119902",5,5
"114",1201,"120101","120102",10,10
"115",1202,"120201","120202",5,5
"118",1205,"120501","120502",10,10
"119",1206,"120601","120602",10,10
"120",1208,"120801","120802",10,10
"122",1210,"121001","121002",10,10
"125",1214,"121401","121402",4,4
"126",1215,"121501","121502",10,10
"127",1216,"121601","121602",10,10
"129",1218,"121801","121802",10,10
"131",1221,"122101","122102",8,8
"133",1224,"122401","122402",5,5
"134",1225,"122501","122502",9,9
"135",1226,"122601","122602",10,10
"136",1227,"122701","122702",8,8
"137",1228,"122801","122802",10,10
"140",1231,"123101","123102",10,10
"141",1232,"123201","123202",5,5
"142",1233,"123301","123302",10,10
"143",1235,"123501","123502",2,2
"144",1238,"123801","123802",10,10
"145",1239,"123901","123902",8,8
"147",1247,"124701","124702",10,10
"148",1249,"124901","124902",2,2
"149",1250,"125001","125002",2,2
"150",1252,"125201","125202",3,3
"151",1254,"125401","125402",10,10
"152",1258,"125801","125802",3,3
"154",1261,"126101","126102",10,10
"157",1266,"126601","126602",7,7
"158",1267,"126701","126702",9,9
"160",1273,"127301","127302",10,10
"161",1274,"127401","127402",7,7
"162",1275,"127501","127502",10,10
"163",1276,"127601","127602",5,5
"164",1278,"127801","127802",7,7
"165",1279,"127901","127902",10,10
"166",1280,"128001","128002",7,7
"168",1282,"128201","128202",10,10
"169",1283,"128301","128302",8,8
"171",1286,"128601","128602",4,4
"172",1287,"128701","128702",10,10
"173",1288,"128801","128802",7,7
"175",1292,"129201","129202",4,4
"177",1294,"129401","129402",10,10
"178",1296,"129601","129602",10,10
"180",1298,"129801","129802",4,4
"181",1299,"129901","129902",4,4
"182",1300,"130001","130002",10,10
"183",1310,"131001","131002",5,5
"186",1314,"131401","131402",10,10
"187",1315,"131501","131502",9,9
"188",1318,"131801","131802",10,10
"189",1322,"132201","132202",10,10
"190",1323,"132301","132302",10,10
