"","egoID","Q94_1","Q94_2","Q94_3","Q94_4","Q94_5","Q94_6","Q96_1","Q96_2","Q96_3","Q96_4","Q96_5","Q96_6","Q98_1","Q98_2","Q98_3","Q98_4","Q98_5","Q98_6","Q100_1","Q100_2","Q100_3","Q100_4","Q100_5","Q100_6","Q102_1","Q102_2","Q102_3","Q102_4","ego.careerval","ego.acadval","ego.gender","ego.race","ego.workhours","ego.studentorg","ego.belong","ego.age","ego.year","ext_reg","int_toknow","ext_iden","int_stim","amotiv","int_accomp","ext_intro","ego.genderbi","ego.racetri","mean.clo","mean.comm","mean.careerval","mean.acadval","mean.edu","alt.edudiverse","alt.type","alt.age","alt.agesd","alt.female","alt.male","alt.genratio","ego.ager","mean.eigen","dens","mean.deg","mean.bet","deg.centr","alter.aca.value.avg","alter.career.value.avg","density","gendersim","agediver","belong_cat"
"1",1001,5,4,5,1,1,3,5,5,3,5,3,1,3,4,5,4,3,3,1,3,4,5,5,5,3,1,4,5,10,10,2,1,0,3,3,NA,NA,5,4,4.5,2.5,1,3.25,4.5,1,1,9.5,1.75,8.75,7.75,6,2,5,25.5,8.50490054811538,1,3,0.333333333333333,NA,0.804375328761928,1,3,0.625,0,7.75,8.75,1,0.5,2,0
"2",1002,2,5,5,1,2,2,4,4,4,5,1,3,2,4,4,4,4,1,1,4,3,3,3,2,1,1,1,3,10,10,1,1,30,3,2,NA,NA,3.25,4,4,1,1.75,2.25,3.5,0,1,9,2,8.66666666666667,5.33333333333333,6.33333333333333,3,3,53.3333333333333,5.77350269189626,1,2,0.5,NA,0.780546928833291,0.666666666666667,1.33333333333333,0.333333333333333,0.333333333333333,5.33333333333333,8.66666666666667,0.666666666666667,-0.333333333333333,0.918295834054489,0
"3",1005,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,10,2,1,20,3,4,NA,NA,4,4,4,4,4,4,4,1,1,8.66666666666667,1.33333333333333,9.33333333333333,9.33333333333333,5.33333333333333,2,3,19,0,2,1,2,NA,1,1,2,0,0,9.33333333333333,9.33333333333333,1,-0.333333333333333,0,1
"4",1007,3,4,5,3,1,2,5,5,5,5,3,1,5,5,5,4,5,2,1,5,5,4,4,5,4,1,4,5,10,10,1,2,12,3,4,NA,NA,4.25,4.25,5,3,1,4,5,0,2,8.7,1.6,9.2,7.7,8,3,4,29.3,14.682188755995,3,7,0.428571428571429,NA,0.717704427253378,0.777777777777778,7,2.48333333333333,0.222222222222222,7.7,9.2,0.777777777777778,-0.4,2.64643934467102,1
"5",1008,4,3,4,4,1,3,2,3,3,4,3,1,2,2,3,3,3,3,1,3,2,4,3,4,3,1,2,2,7,7,2,1,20,3,3,NA,NA,3.5,3,3.75,3.25,1,2.5,2,1,1,7.8,2.4,7,7,7.4,2,5,43.8,12.7945300812496,3,2,1.5,NA,0.764402197716246,0.666666666666667,2,0.5,0.333333333333333,6.75,6.75,0.666666666666667,-0.5,1.5,0
"6",1009,3,5,5,2,1,3,3,4,4,4,2,1,3,4,5,4,3,2,1,4,4,4,3,4,2,1,4,4,9,10,1,1,30,1,5,NA,NA,4,4,4,2,1,3.5,3.75,0,1,9,4,7.5,10,7.5,2,4,45.25,6.23832242407097,1,3,0.333333333333333,NA,0.768779144207079,0.666666666666667,2,0.625,0.333333333333333,10,7.5,0.666666666666667,-0.5,2,1
"7",1012,4,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,3,4,3,2,2,2,-8,-8,2,3,39,1,3,NA,NA,2.75,2.25,2.5,2.25,2.25,2,2.25,1,3,3.3,3.1,2.6,4.5,5.4,4,6,45.5,12.1678081656293,9,1,9,NA,0.871335317960608,0.952380952380952,5.71428571428571,0.428571428571429,0.0476190476190476,6.42857142857143,6.28571428571429,0.952380952380952,-0.714285714285714,2.52164063634332,0
"8",1014,5,3,5,3,2,5,5,5,3,5,1,1,5,1,5,5,5,1,1,1,3,5,5,NA,1,1,5,5,10,10,2,2,0,3,2,NA,NA,5,4,NA,1.5,1.25,4,3.5,1,2,9,2.5,9,8.5,5.5,3,3,44.6666666666667,8.14452781524708,2,2,1,NA,0.804737854124365,0.666666666666667,1.33333333333333,0.333333333333333,0.333333333333333,8.66666666666667,10,0.666666666666667,-0.333333333333333,1,0
"9",1018,1,2,1,1,5,2,1,1,1,2,1,5,1,2,1,1,1,1,4,1,1,1,1,1,1,5,1,1,5,0,1,1,22,3,1,NA,NA,1,1.25,1.25,1,4.75,1.25,1.25,0,1,10,1.66666666666667,7.66666666666667,8,5.66666666666667,3,3,51,13.856406460551,1,2,0.5,NA,1,1,2,0,0,8,7.66666666666667,1,-0.333333333333333,0.918295834054489,0
"10",1019,3,3,2,2,2,3,3,2,2,2,2,2,3,2,2,3,3,4,2,2,3,2,2,3,3,2,2,3,10,10,1,2,0,3,5,NA,NA,2.25,2.5,2.5,2.75,2,2.5,2.75,0,2,8.5,1.9,7.3,5.8,6.7,5,6,28.5,13.3354165039317,4,5,0.8,NA,0.635890297098423,0.822222222222222,7.4,3.41666666666667,0.177777777777778,5.8,7.3,0.822222222222222,0,3.32192809488736,1
"11",1020,4,2,5,1,3,1,3,5,1,5,1,3,1,2,5,1,2,1,4,1,1,5,1,5,1,3,1,1,10,-2,2,1,25,3,2,NA,NA,4.75,1.25,4.25,1,3.25,1,1.75,1,1,10,1.33333333333333,9,6.66666666666667,5.66666666666667,3,3,68,15.7162336455017,1,2,0.5,NA,0.804737854124365,0.666666666666667,1.33333333333333,0.333333333333333,0.333333333333333,6.66666666666667,9,0.666666666666667,0.333333333333333,1.58496250072116,0
"12",1023,2,5,5,4,1,5,5,3,5,5,3,1,5,3,4,5,5,5,1,5,5,4,5,5,5,1,5,5,10,10,1,1,15,1,5,NA,NA,3.25,5,5,4.25,1,5,4.5,0,1,9.83333333333333,2.16666666666667,9.5,9.33333333333333,6.33333333333333,4,5,42.5,19.6545160204977,1,5,0.2,NA,0.718309010760773,0.8,4,0.666666666666667,0.2,9.33333333333333,9.5,0.8,-0.666666666666667,2.58496250072116,1
"13",1025,3,5,5,4,1,4,4,3,5,5,4,1,5,5,3,5,5,4,1,3,5,3,5,3,4,1,4,5,8,9,1,1,17,3,4,NA,NA,3,5,4.5,4,1,4,4.75,0,1,8.6,2.6,9.4,9.2,8.6,3,5,231.8,428.964683861038,2,2,1,NA,0.782783577374194,0.7,2.8,0.9,0.3,9.2,9.4,0.7,0.2,2.32192809488736,1
"14",1027,3,3,4,4,1,1,5,4,4,4,1,1,3,4,3,4,4,4,1,3,3,4,4,4,3,1,3,3,10,10,1,2,0,3,3,NA,NA,3.5,3.75,4,3,1,2.5,3.75,0,2,10,2,10,10,3,1,3,35.5,13.4350288425444,1,1,1,NA,1,1,1,0,0,10,10,1,0,1,0
"15",1028,5,3,3,3,1,2,3,5,2,5,1,1,3,3,5,3,5,1,1,2,3,5,2,5,1,1,4,2,10,10,1,2,25,1,1,NA,NA,5,2.5,4.5,1.5,1,2.75,2.75,0,2,10,1,10,10,5.5,2,2,46,0,1,1,1,NA,1,1,1,0,0,10,10,1,0,0,0
"16",1029,3,3,4,3,2,3,2,3,3,4,2,1,3,3,3,3,3,3,1,4,2,4,3,3,3,1,4,4,10,10,1,2,0,1,2,NA,NA,3.25,3,3.5,2.75,1.25,3.5,2.75,0,2,9.7,1.6,10,10,6.6,3,6,37.125,17.1417410350958,2,8,0.25,NA,0.872112091433492,0.822222222222222,7.4,0.8,0.177777777777778,10,10,0.822222222222222,-0.6,2.5,0
